t,price,births,fertility_rate,young_share,old_share,theta
0,0,0.0902,0.22,0.27,0.32,0.4475
1,-0.021891625,0.0910948644301474,0.220965343251131,0.23003854207763,0.357702851709103,0.487426785226549
2,-0.0438216798925135,0.0931861619065065,0.221936628148554,0.18573352950212,0.394389126753916,0.527090184653206
3,-0.0660292901582056,0.084753058854011,0.222924556906475,0.192310439925399,0.427502379128144,0.55590557522652
4,-0.0862932550984079,0.0798948372560012,0.223829857245862,0.191198305729168,0.451857190802549,0.577991725862919
5,-0.105734033089447,0.0737883437201143,0.22470183665564,0.183584943401043,0.488031698374804,0.611690787027167
6,-0.123937152411077,0.0788530717474927,0.225521382448314,0.177347768965084,0.473004357775871,0.599101756653521
7,-0.144443566692518,0.0811121236424698,0.226448208717078,0.177563101025688,0.464244073771572,0.591185201240562
8,-0.166346209242413,0.0813508291297012,0.22744234738808,0.191838787539029,0.450484508610855,0.576660239618916
9,-0.189071894626983,0.0791650074742713,0.228478456880203,0.187052873108873,0.466459284863291,0.591755425410631
10,-0.211709775818131,0.0793431952319504,0.229515255834569,0.182313320804648,0.471987675687107,0.597441909997699
11,-0.235119139317097,0.082108466429694,0.230592336454762,0.18436496275094,0.459558735269258,0.585948117329691
12,-0.260375708035883,0.0824341398361739,0.231760077523372,0.187892341551278,0.45642025655846,0.582594379669922
13,-0.286674188938703,0.0819004756392466,0.232982276497952,0.190255751424102,0.458213321544347,0.583853626676297
14,-0.313743653039161,0.0820963156995185,0.234247038124635,0.187703908944347,0.461827131632406,0.587488832127513
15,-0.341839974361183,0.083280239634046,0.235567039379576,0.187838191991158,0.458630856253514,0.584592041829489
16,-0.371485792303498,0.0843519445103084,0.236967903765217,0.190633408158657,0.453403007026571,0.579467695100115
17,-0.402811361771288,0.0844528033983515,0.238457195089883,0.192093763149111,0.453742868593041,0.57955451726137
18,-0.435494597726323,0.0847997175202761,0.240021011133023,0.192308992887862,0.454389781023731,0.580104453988179
19,-0.469713224376277,0.0857264839737414,0.241669282732414,0.192448603780582,0.452824957656428,0.614755171323698
20,-0.501303965965223,0.086613428699394,0.2432010188772,0.194068675874556,0.449792073149987,0.648220510225864
21,-0.529919717298579,0.0871352724802744,0.244596885420162,0.195787388821345,0.447972292212223,0.683599365202461
22,-0.554942191964798,0.0874915077637707,0.24582403737063,0.196439618632763,0.447649264213712,0.717112029073693
23,-0.576355342685103,0.0880588695750519,0.246879068344414,0.196933844769659,0.446377877987641,0.747851582452094
24,-0.594230895307472,0.0886551971587396,0.247763267913741,0.197804787447007,0.444373014350453,0.775431901265069
25,-0.608705005312736,0.08901677350249,0.248481537602608,0.198822908837003,0.442934083004972,0.805525373544633
26,-0.619176441481066,0.089213509399015,0.249002474620079,0.199399866177075,0.44231650818774,0.837327862065102
27,-0.625224219235594,0.0893959539209842,0.249303839167284,0.199605625189927,0.441812035205591,0.869383304181121
28,-0.62666901903198,0.0895688217565329,0.249375888403668,0.199893844556313,0.440934214924936,0.900216036013282
29,-0.62356305235635,0.0896049395081294,0.249221025868618,0.200197624106717,0.440262328275605,0.895223049189104
30,-0.621112825703855,0.0895776572003849,0.249098926188261,0.200263911259803,0.440129331011002,0.891498849377816
31,-0.619162896535975,0.0895551212120909,0.249001800076024,0.2001317226197,0.440211756083071,0.887292051410561
32,-0.617809353718357,0.0895482622479004,0.248934402279403,0.200046148397968,0.440227508324689,0.886178031275371
33,-0.616604558912457,0.0895234983075284,0.248874426530565,0.200051152616677,0.440235318132724,0.887064900847203
34,-0.615250953965985,0.089468447648179,0.248807060118766,0.200027962860745,0.440382371132704,0.890997485376147
35,-0.613305984710824,0.0894184727877868,0.248710294524118,0.199939550338186,0.440531814311676,0.893344795220733
36,-0.610998920742907,0.0893851179561278,0.248595562883687,0.199857618416214,0.440581989920846,0.894738514959634
37,-0.608463341262931,0.0893479618928883,0.248469528081902,0.199816880008242,0.440589883015685,0.896131284862415
38,-0.605693173395275,0.0892893266545459,0.248331905748562,0.199761789943685,0.440681807565883,0.898846871067065
39,-0.602496820534054,0.0892189178163573,0.248173205200767,0.199667294159105,0.440830084499558,0.901902588062037
40,-0.598825690559216,0.089148309976126,0.247991056859461,0.199555936438842,0.440962108424981,0.904048835673189
41,-0.594808534234637,0.0890744455316187,0.247791893108866,0.199449037018354,0.441078163391369,0.90619226722705
42,-0.590443415670835,0.0889884936821572,0.247575659312701,0.199337379419469,0.441223029753228,0.908802753166878
43,-0.585662873122091,0.0888903131585151,0.247339063241808,0.199203629206972,0.441409899471219,0.911614551028633
44,-0.580439166178638,0.0887852277772171,0.247080792821789,0.199050309272378,0.44161286505516,0.914114831591746
45,-0.574817092898897,0.0886745737889839,0.246803127691763,0.198888105100275,0.441819147606298,0.916269442469069
46,-0.568845551778221,0.0885556157057341,0.246508544633118,0.198717553840023,0.442042908084198,0.918473669797269
47,-0.562518548030633,0.0884270669370472,0.246196809812312,0.198533088666138,0.442294641780655,0.920635541594666
48,-0.555843755266284,0.0882910409423985,0.245868366553209,0.198333192269725,0.44256798513615,0.922462917287829
49,-0.548869412188607,0.0881495816201565,0.245525651561911,0.198121805647144,0.442854275428731,0.923937977944935
50,-0.541645656328363,0.0880027084286358,0.245171184209268,0.197902208888097,0.443153860925065,0.92520848389822
51,-0.534201997057366,0.0878500461679882,0.24480646161204,0.197673917239239,0.443470987231421,0.92635084311492
52,-0.526557547048507,0.0876923963090996,0.244432465432873,0.197436343179168,0.443804454544644,0.927272451298822
53,-0.518743721350379,0.087531203479367,0.244050773222224,0.197191015508909,0.44414917643687,0.927944800348141
54,-0.510795244438263,0.0873671938302466,0.243663115045801,0.196940151458752,0.444502527242026,0.928461125394423
55,-0.502733974650662,0.0872004226338074,0.243270584738565,0.196684871941657,0.444864792899577,0.928894099836629
