t,price,births,fertility_rate,young_share,old_share,theta
0,0,0.0902,0.22,0.27,0.32,0.4475
1,-0.021891625,0.0910948644301474,0.220965343251131,0.23003854207763,0.357702851709103,0.487426785226549
2,-0.0438216798925135,0.0931861619065065,0.221936628148554,0.18573352950212,0.394389126753916,0.527090184653206
3,-0.0660292901582056,0.084753058854011,0.222924556906475,0.192310439925399,0.427502379128144,0.55590557522652
4,-0.0862932550984079,0.0798948372560012,0.223829857245862,0.191198305729168,0.451857190802549,0.577991725862919
5,-0.105734033089447,0.0737883437201143,0.22470183665564,0.183584943401043,0.488031698374804,0.611690787027167
6,-0.123937152411077,0.0788530717474927,0.225521382448314,0.177347768965084,0.473004357775871,0.599101756653521
7,-0.144443566692518,0.0811121236424698,0.226448208717078,0.177563101025688,0.464244073771572,0.591185201240562
8,-0.166346209242413,0.0813508291297012,0.22744234738808,0.191838787539029,0.450484508610855,0.576660239618916
9,-0.189071894626983,0.0791650074742713,0.228478456880203,0.187052873108873,0.466459284863291,0.591755425410631
10,-0.211709775818131,0.0793431952319504,0.229515255834569,0.182313320804648,0.471987675687107,0.597441909997699
11,-0.235119139317097,0.082108466429694,0.230592336454762,0.18436496275094,0.459558735269258,0.585948117329691
12,-0.260375708035883,0.0824341398361739,0.231760077523372,0.187892341551278,0.45642025655846,0.582594379669922
13,-0.286674188938703,0.0819004756392466,0.232982276497952,0.190255751424102,0.458213321544347,0.583853626676297
14,-0.313743653039161,0.0820963156995185,0.234247038124635,0.187703908944347,0.461827131632406,0.587488832127513
15,-0.341839974361183,0.133248383414474,0.376907263007321,0.187838191991158,0.458630856253514,0.584592041829489
16,-0.370174128529262,0.127853807807187,0.379049195960613,0.233066356740588,0.429632287209385,0.551709104977358
17,-0.399091402920963,0.121074150118317,0.381247761405952,0.27556162393412,0.40686497006915,0.524844229472117
18,-0.428520769279148,0.135932208396084,0.383498354269508,0.260565178563999,0.384981648735927,0.507398707077735
19,-0.462806603935078,0.148237295393753,0.38613710333433,0.261952167273941,0.354149745456771,0.515521945820003
20,-0.497602826936068,0.156355157717722,0.388833698133802,0.28037723209239,0.317509580526618,0.516219983432156
21,-0.532272828806797,0.147306515214346,0.391539240417467,0.29125576343503,0.332520093469415,0.56537213014188
22,-0.561579953422616,0.146106601885857,0.393840957360304,0.285502605199595,0.34351870618171,0.610035078859866
23,-0.587000320401936,0.150846162775235,0.39584837229231,0.272747112037016,0.346182323237144,0.646303593086544
24,-0.609796245806414,0.154354065753555,0.397657238630491,0.283049839145363,0.328791589203479,0.658621860878039
25,-0.630922295320855,0.0957592680912025,0.249588111565878,0.290436036391902,0.325894775639075,0.686448027782091
26,-0.649769857260336,0.100045652692819,0.250530712501113,0.245627632712797,0.355037484573475,0.751842575831905
27,-0.664169148920116,0.107263977435618,0.251253245357688,0.198826867563081,0.374257343616301,0.808700895394787
28,-0.675030220227716,0.100188486354097,0.251799614441027,0.21179378308126,0.390316464082912,0.852875069476718
29,-0.678278524673313,0.0922686957523508,0.251963251951115,0.216247203342445,0.417553777404333,0.872377916519599
30,-0.678390849490219,0.0842713320521283,0.251968912359924,0.204589656745291,0.460959036294462,0.909596722310107
31,-0.674156082136538,0.0900608288401252,0.251755596762027,0.192473876604201,0.449794934900095,0.897065589248207
32,-0.672915621230454,0.0934130755638792,0.251693145913997,0.195135778867936,0.433725487001424,0.881062767513938
33,-0.673833469911977,0.0926220509372547,0.25173935339944,0.211362882379379,0.42070874374302,0.867794224432064
34,-0.675298904228022,0.0889839257148472,0.251813145710124,0.204997279054985,0.441629883860166,0.911362106913898
35,-0.670672611552593,0.0889761960037253,0.251580261203612,0.19764942327142,0.448681351734359,0.938410900792085
36,-0.662518788456919,0.0917277928274131,0.251170327358422,0.198995394097149,0.435803056053705,0.942603349645976
37,-0.653505400155911,0.0914018289485349,0.250717956082688,0.203227749985711,0.432211887539134,0.95
38,-0.642895861854827,0.0897494965673106,0.250186519759923,0.204388796565802,0.43688085835632,0.95
39,-0.632116390927849,0.0892006114547819,0.249647725097536,0.199928444145269,0.44276563039544,0.95
40,-0.621687279763941,0.0898978788806301,0.249127547010267,0.198816354764392,0.440332828216464,0.95
41,-0.611289198916755,0.0901830690755794,0.24860999567584,0.200869451288843,0.436381380760693,0.95
42,-0.600626195773543,0.0892899440600284,0.24808037477843,0.201258770917588,0.438817780321998,0.95
43,-0.589862716727913,0.0887086907145863,0.247546907597612,0.19979072796449,0.441858236365202,0.95
44,-0.579174070903779,0.0888171402584012,0.247018284581309,0.198445071556873,0.441997981438397,0.95
45,-0.568544165480313,0.0888818759916932,0.246493686221401,0.198835060102565,0.440580142151908,0.95
46,-0.557810344512041,0.0885083283506731,0.245965089990597,0.199243951688906,0.440915030408688,0.95
47,-0.546974051121859,0.0880290432846354,0.245432597248006,0.198478531793233,0.442852553516175,0.95
48,-0.53614723459859,0.0878741900865048,0.244901721485039,0.197623924728528,0.443561978115878,0.95
49,-0.525337185519272,0.0878175120244721,0.244372813517397,0.197392497738617,0.443248739064836,0.95
50,-0.514484828800512,0.0875689884299474,0.243842984525787,0.197429285261142,0.44345032175217,0.95
51,-0.503566684325567,0.0872277748451368,0.243311102866361,0.197055978027944,0.444440962236854,0.95
52,-0.492622645028592,0.0869856724678052,0.242779124024252,0.196424237094166,0.445284361956895,0.95
53,-0.481677066484603,0.0868334631567947,0.242248233732233,0.196048521263203,0.445503196910415,0.949496516403621
54,-0.470770048370563,0.086626289417675,0.241720368510426,0.195859799778369,0.445766224741204,0.947048320839066
55,-0.460129026652612,0.0863553241458466,0.241206485190543,0.195553494910361,0.446432399135442,0.94436667957792
56,-0.449790529369376,0.0861162422129858,0.24070825794179,0.195098583989617,0.447139522216896,0.938726467594506
57,-0.440129445385331,0.085936279525361,0.240243606450935,0.194702616830619,0.447592631751109,0.935018065334433
