"bib_key","reference","direct_link","confirm_yn","decision_notes"
"lucas_1978","Lucas (1978), On the Size Distribution of Business Firms","=HYPERLINK(""https://doi.org/10.2307/3003596"",""open link"")","Y",""
"evans_jovanovic_1989","Evans and Jovanovic (1989), An Estimated Model of Entrepreneurial Choice under Liquidity Constraints","=HYPERLINK(""https://doi.org/10.1086/261629"",""open link"")","Y",""
"hurst_lusardi_2004","Hurst and Lusardi (2004), Liquidity Constraints, Household Wealth, and Entrepreneurship","=HYPERLINK(""https://doi.org/10.1086/381478"",""open link"")","Y",""
"mortensen_pissarides_1994","Mortensen and Pissarides (1994), Job Creation and Job Destruction in the Theory of Unemployment","=HYPERLINK(""https://doi.org/10.2307/2297896"",""open link"")","Y",""
"poschke_necessity_snapshot_2013","Poschke (2013), ""Entrepreneurs out of Necessity"": A Snapshot","=HYPERLINK(""https://www.iza.org/publications/dp/4893/entrepreneurs-out-of-necessity-a-snapshot"",""open link"")","Y",""
