fips,cbsa,metarea,metareano,state_fips,year,permits_total_pc,permits_mf_pc,permits_sf_pc,housing_stock_growth,real_house_price_index,real_rent_index,price_to_income,housing_demand_shifter
,,28140,36,,2013,0.03884592,,,-0.05134955,,0.25629184,,-0.05134955
,,28140,36,,2014,0.03830397,,,0.04329005,,0.25755623,,0.04329005
,,28140,36,,2015,,,,-0.05167243,,0.250907,,-0.05167243
,,28140,36,,2016,,,,-0.0140059,,0.24835227,,-0.0140059
,,28140,36,,2017,,,,0.01808147,,0.24765892,,0.01808147
,,"284. fresno, ca",,CA,1960,,,,,,0.35468316,,
,,"284. fresno, ca",,CA,1970,,,,,,0.37273487,,
,,"284. fresno, ca",33,CA,1980,0.0143707,,,,,0.35966513,,
,,"284. fresno, ca",33,CA,1981,0.00649568,,,,,,,
,,"284. fresno, ca",33,CA,1982,0.00715193,,,,,,,
,,"284. fresno, ca",33,CA,1983,0.01873356,,,,,,,
,,"284. fresno, ca",33,CA,1984,0.01286375,,,,,,,
,,"284. fresno, ca",33,CA,1985,0.0142917,,,,,,,
,,"284. fresno, ca",33,CA,1986,0.01886724,,,,,,,
,,"284. fresno, ca",33,CA,1987,0.01861203,,,,,,,
,,"284. fresno, ca",33,CA,1988,0.01971793,,,,,,,
,,"284. fresno, ca",33,CA,1989,0.02934904,,,,,,,
,,"284. fresno, ca",33,CA,1990,0.02352784,,,,,0.40172797,,
,,"284. fresno, ca",33,CA,1991,0.02123096,,,,,,,
,,"284. fresno, ca",33,CA,1992,0.02525962,,,,,,,
,,"284. fresno, ca",33,CA,1993,0.0270157,,,,,,,
,,"284. fresno, ca",33,CA,1994,0.0259827,,,,,,,
,,"284. fresno, ca",33,CA,1995,0.02231864,,,,,,,
,,"284. fresno, ca",33,CA,1996,0.0215044,,,,,,,
,,"284. fresno, ca",33,CA,1997,0.01803477,,,,,,,
,,"284. fresno, ca",33,CA,1998,0.0194688,,,,,,,
,,"284. fresno, ca",33,CA,1999,0.01876394,,,,,,,
,,"284. fresno, ca",33,CA,2000,0.02101221,,,,,0.3945872,,
,,"284. fresno, ca",33,CA,2001,0.02631691,,,,,,,
,,"284. fresno, ca",33,CA,2002,0.02773271,,,,,,,
,,"284. fresno, ca",33,CA,2003,0.02716153,,,,,,,
,,"284. fresno, ca",33,CA,2004,0.03282474,,,,,,,
,,"284. fresno, ca",33,CA,2005,0.03563811,,,,,0.32284614,,
,,"284. fresno, ca",33,CA,2006,0.02372228,,,-0.02543423,,0.34441805,,-0.02543423
,,"284. fresno, ca",33,CA,2007,0.0221485,,,0.01333555,,0.34717828,,0.01333555
,,"284. fresno, ca",33,CA,2008,0.01272399,,,-0.00265433,,0.36543047,,-0.00265433
,,"284. fresno, ca",33,CA,2009,0.012566,,,-0.02086473,,0.3770218,,-0.02086473
,,"284. fresno, ca",33,CA,2010,0.01164847,,,0.02856193,,0.39416832,,0.02856193
,,"284. fresno, ca",33,CA,2011,0.00783248,,,0.05265554,,0.39824104,,0.05265554
,,"288. gadsden, al",,AL,1960,,,,,,0.36723992,,
,,"288. gadsden, al",,AL,1980,,,,,,0.24199115,,
,,"288. gadsden, al",,AL,2000,,,,,,0.23474576,,
,,"288. gadsden, al",,AL,2005,,,,,,0.19131973,,
,,"288. gadsden, al",,AL,2006,,,,,,0.21442495,,
,,"288. gadsden, al",,AL,2007,,,,,,0.20480853,,
,,"288. gadsden, al",,AL,2008,,,,,,0.1908397,,
,,"288. gadsden, al",,AL,2009,,,,,,0.18483412,,
,,"288. gadsden, al",,AL,2010,,,,,,0.22372228,,
,,"288. gadsden, al",,AL,2011,,,,,,0.22731906,,
,,28940,,,2012,,,,,,0.24151465,,
,,28940,,,2013,,,,,,0.24400923,,
,,28940,,,2014,,,,,,0.23200735,,
,,28940,,,2015,,,,,,0.25135195,,
,,28940,,,2016,,,,,,0.23645096,,
,,28940,,,2017,,,,,,0.2451118,,
,,"290. gainesville, fl",,FL,1980,,,,,,0.37839183,,
,,"290. gainesville, fl",,FL,1990,,,,,,0.35679197,,
,,"290. gainesville, fl",,FL,2000,,,,,,0.3487,,
,,"290. gainesville, fl",,FL,2005,,,,,,0.32411674,,
,,"290. gainesville, fl",,FL,2006,,,,,,0.31863728,,
,,"290. gainesville, fl",,FL,2007,,,,,,0.31277108,,
,,"290. gainesville, fl",,FL,2008,,,,,,0.3118383,,
,,"290. gainesville, fl",,FL,2009,,,,,,0.33164558,,
,,"290. gainesville, fl",,FL,2010,,,,,,0.34210527,,
,,"290. gainesville, fl",,FL,2011,,,,,,0.36663613,,
,,29100,,,2012,,,,,,0.21108177,,
,,29100,,,2013,,,,,,0.2521739,,
,,29100,,,2014,,,,,,0.24201474,,
,,29100,,,2015,,,,,,0.22634733,,
,,29100,,,2016,,,,,,0.18897638,,
,,29100,,,2017,,,,,,0.25288832,,
,,29180,,,2012,,,,,,0.2398754,,
,,29180,,,2013,,,,,,0.2309859,,
,,29180,,,2014,,,,,,0.25832492,,
,,29180,,,2015,,,,,,0.24347612,,
,,29180,,,2016,,,,,,0.2419472,,
,,29180,,,2017,,,,,,0.24881455,,
,,"292. galveston-texas city, tx",,TX,1960,,,,,,0.3848437,,
,,"292. galveston-texas city, tx",,TX,1980,,,,,,0.30693695,,
,,"292. galveston-texas city, tx",,TX,1990,,,,,,0.33029565,,
,,"292. galveston-texas city, tx",,TX,2000,,,,,,0.28008968,,
,,"292. galveston-texas city, tx",,TX,2005,,,,,,0.22686943,,
,,"292. galveston-texas city, tx",,TX,2006,,,,,,0.22397345,,
,,"292. galveston-texas city, tx",,TX,2007,,,,,,0.21973632,,
,,"292. galveston-texas city, tx",,TX,2008,,,,,,0.23606975,,
,,"292. galveston-texas city, tx",,TX,2009,,,,,,0.21504498,,
,,"292. galveston-texas city, tx",,TX,2010,,,,,,0.24102771,,
,,"292. galveston-texas city, tx",,TX,2011,,,,,,0.26457754,,
,,29200,,,2012,,,,,,0.3039867,,
,,29200,,,2013,,,,,,0.33676705,,
,,29200,,,2014,,,,,,0.34833205,,
,,29200,,,2015,,,,,,0.30212432,,
,,29200,,,2016,,,,,,0.2863671,,
,,29200,,,2017,,,,,,0.2821249,,
,,29420,,,2012,,,,,,0.37313432,,
,,29420,,,2013,,,,,,0.3223982,,
,,29420,,,2014,,,,,,0.30636463,,
,,29420,,,2015,,,,,,0.343717,,
,,29420,,,2016,,,,,,0.31095964,,
,,29420,,,2017,,,,,,0.30995107,,
,,29460,,,2012,,,,,,0.27951083,,
,,29460,,,2013,,,,,,0.27868557,,
,,29460,,,2014,,,,,,0.28033105,,
,,29460,,,2015,,,,,,0.27798894,,
,,29460,,,2016,,,,,,0.2764369,,
,,29460,,,2017,,,,,,0.27716482,,
,,29540,,,2012,,,,,,0.22353914,,
,,29540,,,2013,,,,,,0.2194557,,
,,29540,,,2014,,,,,,0.2277747,,
,,29540,,,2015,,,,,,0.23138444,,
,,29540,,,2016,,,,,,0.23163687,,
,,29540,,,2017,,,,,,0.24389596,,
,,29620,,,2012,,,,,,0.21572632,,
,,29620,,,2013,,,,,,0.23680316,,
,,29620,,,2014,,,,,,0.22310166,,
,,29620,,,2015,,,,,,0.23011433,,
,,29620,,,2016,,,,,,0.22798434,,
,,29620,,,2017,,,,,,0.21864323,,
,,"297. glens falls, ny",,NY,1980,,,,,,0.24172293,,
,,"297. glens falls, ny",,NY,2000,,,,,,0.23038255,,
,,"297. glens falls, ny",,NY,2005,,,,,,0.18187134,,
,,"297. glens falls, ny",,NY,2006,,,,,,0.20723481,,
,,"297. glens falls, ny",,NY,2007,,,,,,0.18896714,,
,,"297. glens falls, ny",,NY,2008,,,,,,0.21179302,,
,,"297. glens falls, ny",,NY,2009,,,,,,0.18693829,,
,,"297. glens falls, ny",,NY,2010,,,,,,0.19666047,,
,,"297. glens falls, ny",,NY,2011,,,,,,0.20973782,,
,,29700,,,2012,,,,,,0.30154,,
,,29700,,,2013,,,,0.02048341,,0.30260617,,0.02048341
,,29700,,,2014,,,,0.01846648,,0.34954408,,0.01846648
,,29700,,,2015,,,,0.00827749,,0.32978156,,0.00827749
,,29700,,,2016,,,,0.00860047,,0.31825614,,0.00860047
,,29700,,,2017,,,,0.01511628,,0.33891457,,0.01511628
,,29740,,,2012,,,,,,0.31559634,,
,,29740,,,2013,,,,,,0.31574157,,
,,29740,,,2014,,,,,,0.33017078,,
,,29740,,,2015,,,,,,0.30662984,,
,,29740,,,2016,,,,,,0.35061264,,
,,29740,,,2017,,,,,,0.2771639,,
,,"298. goldsboro, nc",,NC,2000,,,,,,0.31027624,,
,,"298. goldsboro, nc",,NC,2005,,,,,,0.30406854,,
,,"298. goldsboro, nc",,NC,2006,,,,,,0.3360996,,
,,"298. goldsboro, nc",,NC,2007,,,,,,0.29142857,,
,,"298. goldsboro, nc",,NC,2008,,,,,,0.30876648,,
,,"298. goldsboro, nc",,NC,2009,,,,,,0.35214323,,
,,"298. goldsboro, nc",,NC,2010,,,,,,0.34886184,,
,,"298. goldsboro, nc",,NC,2011,,,,,,0.36596525,,
,,29820,27,,2012,0.06799434,,,,,0.40272495,,
,,29820,27,,2013,0.07866995,,,,,0.4046307,,
,,29820,27,,2014,0.07579788,,,,,0.4304122,,
,,29820,27,,2015,,,,,,0.42427745,,
,,29820,27,,2016,,,,,,0.39888895,,
,,29820,27,,2017,,,,,,0.39792544,,
,,29940,,,2012,,,,,,0.38020837,,
,,29940,,,2013,,,,,,0.34264433,,
,,29940,,,2014,,,,,,0.34829444,,
,,29940,,,2015,,,,,,0.3125,,
,,29940,,,2016,,,,,,0.29900333,,
,,29940,,,2017,,,,,,0.33768353,,
,,"300. grand rapids, mi",,MI,1960,,,,,,0.1967055,,
,,"300. grand rapids, mi",,MI,1970,,,,,,0.17613168,,
,,"300. grand rapids, mi",,MI,1980,,,,,,0.19394012,,
,,"300. grand rapids, mi",,MI,1990,,,,-0.07728557,,0.20910253,,-0.07728557
,,"300. grand rapids, mi",,MI,2000,,,,-0.23553331,,0.19487238,,-0.23553331
,,"300. grand rapids, mi",,MI,2005,,,,-0.16309739,,0.14498575,,-0.16309739
,,"300. grand rapids, mi",,MI,2006,,,,-0.08174423,,0.15629448,,-0.08174423
,,"300. grand rapids, mi",,MI,2007,,,,0.05118792,,0.15742444,,0.05118792
,,"300. grand rapids, mi",,MI,2008,,,,-0.00060998,,0.17256582,,-0.00060998
,,"300. grand rapids, mi",,MI,2009,,,,-0.01765994,,0.17552786,,-0.01765994
,,"300. grand rapids, mi",,MI,2010,,,,0.03919039,,0.18773116,,0.03919039
,,"300. grand rapids, mi",,MI,2011,,,,0.08757307,,0.1978022,,0.08757307
,,"301. grand junction, co",,CO,2000,,,,,,0.25470236,,
,,"301. grand junction, co",,CO,2005,,,,,,0.22139303,,
,,"301. grand junction, co",,CO,2006,,,,,,0.22418135,,
,,"301. grand junction, co",,CO,2007,,,,,,0.2055465,,
,,"301. grand junction, co",,CO,2008,,,,,,0.2315951,,
,,"301. grand junction, co",,CO,2009,,,,,,0.20631067,,
,,"301. grand junction, co",,CO,2010,,,,,,0.23175181,,
,,"301. grand junction, co",,CO,2011,,,,,,0.2159864,,
,,30140,,,2012,,,,,,0.2104247,,
,,30140,,,2013,,,,,,0.21719038,,
,,30140,,,2014,,,,,,0.22421949,,
,,30140,,,2015,,,,,,0.2084095,,
,,30140,,,2016,,,,,,0.19924812,,
,,30140,,,2017,,,,,,0.20348305,,
,,30340,,,2012,,,,,,0.252994,,
,,30340,,,2013,,,,,,0.28781205,,
,,30340,,,2014,,,,,,0.2699115,,
,,30340,,,2015,,,,,,0.27647868,,
,,30340,,,2016,,,,,,0.26300985,,
,,30340,,,2017,,,,,,0.25444597,,
,,"304. great falls, mt",,MT,1960,,,,,,0.3881818,,
,,"304. great falls, mt",,MT,2003,,,,,,0.30555555,,
,,"306. greeley, co",,CO,1980,,,,,,0.3051967,,
,,"306. greeley, co",,CO,1990,,,,,,0.3249545,,
,,"306. greeley, co",,CO,2000,,,,,,0.23076138,,
,,"306. greeley, co",,CO,2005,,,,,,0.15973844,,
,,"306. greeley, co",,CO,2006,,,,,,0.183355,,
,,"306. greeley, co",,CO,2007,,,,,,0.21089324,,
,,"306. greeley, co",,CO,2008,,,,,,0.20307551,,
,,"306. greeley, co",,CO,2009,,,,,,0.2457421,,
,,"306. greeley, co",,CO,2010,,,,,,0.20723227,,
,,"306. greeley, co",,CO,2011,,,,,,0.27862796,,
,,30620,,,2012,,,,,,0.24725275,,
,,30620,,,2013,,,,,,0.28856152,,
,,30620,,,2014,,,,,,0.2720848,,
,,30620,,,2015,,,,,,0.23172906,,
,,30620,,,2016,,,,,,0.2262017,,
,,30620,,,2017,,,,,,0.24847429,,
,,30700,,,2012,,,,,,0.26136363,,
,,30700,,,2013,,,,0.01243406,,0.27440634,,0.01243406
,,30700,,,2014,,,,0.01600298,,0.2669469,,0.01600298
,,30700,,,2015,,,,0.01575092,,0.26875997,,0.01575092
,,30700,,,2016,,,,0.01117923,,0.27792343,,0.01117923
,,30700,,,2017,,,,0.01533524,,0.2667653,,0.01533524
,,30780,,,2012,,,,,,0.26752222,,
,,30780,,,2013,,,,-0.01479828,,0.25513765,,-0.01479828
,,30780,,,2014,,,,0.01691669,,0.28154206,,0.01691669
,,30780,,,2015,,,,-0.00538208,,0.28230768,,-0.00538208
,,30780,,,2016,,,,-0.02948359,,0.27391142,,-0.02948359
,,30780,,,2017,,,,-0.01171026,,0.26339203,,-0.01171026
,,"308. green bay, wi",,WI,1960,,,,,,0.22845931,,
,,"308. green bay, wi",,WI,1980,,,,,,0.21997447,,
,,"308. green bay, wi",,WI,1990,,,,,,0.22283071,,
,,"308. green bay, wi",,WI,2000,,,,inf,,0.24072956,,inf
,,"308. green bay, wi",,WI,2005,,,,-0.19696315,,0.19909503,,-0.19696315
,,"308. green bay, wi",,WI,2006,,,,0.04269875,,0.1875,,0.04269875
,,"308. green bay, wi",,WI,2007,,,,0.0733601,,0.2024362,,0.0733601
,,"308. green bay, wi",,WI,2008,,,,-0.0570545,,0.19525222,,-0.0570545
,,"308. green bay, wi",,WI,2009,,,,0.01108381,,0.19476569,,0.01108381
,,"308. green bay, wi",,WI,2010,,,,0.08865704,,0.21548238,,0.08865704
,,"308. green bay, wi",,WI,2011,,,,0.17936321,,0.2104181,,0.17936321
,,31080,2,,2012,0.00959209,,,,,0.40999925,,
,,31080,2,,2013,0.01456268,,,0.00716571,,0.41293007,,0.00716571
,,31080,2,,2014,0.01609672,,,0.02314793,,0.4129026,,0.02314793
,,31080,2,,2015,,,,0.01384459,,0.41467485,,0.01384459
,,31080,2,,2016,,,,-0.01177018,,0.41770735,,-0.01177018
,,31080,2,,2017,,,,-0.00053143,,0.41690308,,-0.00053143
,,31140,28,,2012,0.03097942,,,,,0.22700408,,
,,31140,28,,2013,0.03341586,,,,,0.2154561,,
,,31140,28,,2014,0.0313069,,,,,0.229228,,
,,31140,28,,2015,,,,,,0.22655676,,
,,31140,28,,2016,,,,,,0.22838564,,
,,31140,28,,2017,,,,,,0.22040354,,
,,31180,,,2012,,,,,,0.3293732,,
,,31180,,,2013,,,,,,0.30301857,,
,,31180,,,2014,,,,,,0.3270809,,
,,31180,,,2015,,,,,,0.33424336,,
,,31180,,,2016,,,,,,0.35780883,,
,,31180,,,2017,,,,,,0.3415002,,
,,"312. greensboro-winston salem-high point, nc",,NC,1960,,,,,,0.37773117,,
,,"312. greensboro-winston salem-high point, nc",,NC,1970,,,,,,0.32561064,,
,,"312. greensboro-winston salem-high point, nc",,NC,1980,,,,,,0.3056706,,
,,"312. greensboro-winston salem-high point, nc",,NC,1990,,,,0.10393718,,0.2901813,,0.10393718
,,"312. greensboro-winston salem-high point, nc",,NC,2000,,,,-0.03004956,,0.257573,,-0.03004956
,,"312. greensboro-winston salem-high point, nc",,NC,2005,,,,-0.02156036,,0.2191146,,-0.02156036
,,"312. greensboro-winston salem-high point, nc",,NC,2006,,,,0.14328373,,0.22896574,,0.14328373
,,"312. greensboro-winston salem-high point, nc",,NC,2007,,,,0.02270623,,0.2290119,,0.02270623
,,"312. greensboro-winston salem-high point, nc",,NC,2008,,,,0.0504735,,0.23219185,,0.0504735
,,"312. greensboro-winston salem-high point, nc",,NC,2009,,,,0.03210677,,0.23580647,,0.03210677
,,"312. greensboro-winston salem-high point, nc",,NC,2010,,,,-0.00527919,,0.25527817,,-0.00527919
,,"312. greensboro-winston salem-high point, nc",,NC,2011,,,,0.10844696,,0.26927656,,0.10844696
,,31340,,,2012,,,,,,0.22076157,,
,,31340,,,2013,,,,,,0.23156942,,
,,31340,,,2014,,,,,,0.22120237,,
,,31340,,,2015,,,,,,0.24416041,,
,,31340,,,2016,,,,,,0.2122507,,
,,31340,,,2017,,,,,,0.23762839,,
,,31460,,,2012,,,,,,0.33027524,,
,,31460,,,2013,,,,,,0.33744395,,
,,31460,,,2014,,,,,,0.29356724,,
,,31460,,,2015,,,,,,0.3361169,,
,,31460,,,2016,,,,,,0.31428573,,
,,31460,,,2017,,,,,,0.31176472,,
,,"315. greenville, nc",,NC,2000,,,,,,0.33431908,,
,,"315. greenville, nc",,NC,2005,,,,,,0.30448717,,
,,"315. greenville, nc",,NC,2006,,,,,,0.288522,,
,,"315. greenville, nc",,NC,2007,,,,,,0.3122172,,
,,"315. greenville, nc",,NC,2008,,,,,,0.32761088,,
,,"315. greenville, nc",,NC,2009,,,,,,0.3483146,,
,,"315. greenville, nc",,NC,2010,,,,,,0.35505125,,
,,"315. greenville, nc",,NC,2011,,,,,,0.349957,,
,,"316. greenville-spartenburg-anderson, sc",,SC,1960,,,,,,0.39759523,,
,,"316. greenville-spartenburg-anderson, sc",,SC,1970,,,,,,0.32207698,,
,,"316. greenville-spartenburg-anderson, sc",,SC,1980,,,,,,0.26252893,,
,,"316. greenville-spartenburg-anderson, sc",,SC,1990,,,,,,0.27544236,,
,,"316. greenville-spartenburg-anderson, sc",,SC,2000,,,,,,0.2590579,,
,,"316. greenville-spartenburg-anderson, sc",,SC,2005,,,,,,0.20566037,,
,,"316. greenville-spartenburg-anderson, sc",,SC,2006,,,,,,0.22134735,,
,,"316. greenville-spartenburg-anderson, sc",,SC,2007,,,,,,0.2075912,,
,,"316. greenville-spartenburg-anderson, sc",,SC,2008,,,,,,0.21251802,,
,,"316. greenville-spartenburg-anderson, sc",,SC,2009,,,,,,0.22670177,,
,,"316. greenville-spartenburg-anderson, sc",,SC,2010,,,,,,0.23457085,,
,,"316. greenville-spartenburg-anderson, sc",,SC,2011,,,,,,0.26411507,,
,,31700,,,2012,,,,,,0.24583635,,
,,31700,,,2013,,,,-0.02221981,,0.26077348,,-0.02221981
,,31700,,,2014,,,,0.00706774,,0.24068663,,0.00706774
,,31700,,,2015,,,,0.00861785,,0.26187846,,0.00861785
,,31700,,,2016,,,,-0.00266036,,0.26068527,,-0.00266036
,,31700,,,2017,,,,0.03298639,,0.26894608,,0.03298639
,,"318. hagerstown, md",,MD,1980,,,,,,0.32850394,,
,,"318. hagerstown, md",,MD,1990,,,,,,0.32680678,,
,,"318. hagerstown, md",,MD,2000,,,,,,0.3129672,,
,,"318. hagerstown, md",,MD,2005,,,,,,0.24507809,,
,,"318. hagerstown, md",,MD,2006,,,,,,0.2373461,,
,,"318. hagerstown, md",,MD,2007,,,,,,0.2341137,,
,,"318. hagerstown, md",,MD,2008,,,,,,0.24659403,,
,,"318. hagerstown, md",,MD,2009,,,,,,0.25335217,,
,,"318. hagerstown, md",,MD,2010,,,,,,0.2740544,,
,,"318. hagerstown, md",,MD,2011,,,,,,0.26020408,,
,,31900,,,2012,,,,,,0.2577821,,
,,31900,,,2013,,,,,,0.282588,,
,,31900,,,2014,,,,,,0.26509434,,
,,31900,,,2015,,,,,,0.29877475,,
,,31900,,,2016,,,,,,0.26107445,,
,,31900,,,2017,,,,,,0.27746212,,
,,"32. amarillo, tx",,TX,1960,,,,,,0.34267685,,
,,"32. amarillo, tx",,TX,1980,,,,,,0.2745397,,
,,"32. amarillo, tx",,TX,1990,,,,,,0.31030703,,
,,"32. amarillo, tx",,TX,2000,,,,,,0.3025174,,
,,"32. amarillo, tx",,TX,2005,,,,,,0.23635565,,
,,"32. amarillo, tx",,TX,2006,,,,,,0.27540836,,
,,"32. amarillo, tx",,TX,2007,,,,,,0.2701706,,
,,"32. amarillo, tx",,TX,2008,,,,,,0.24689716,,
,,"32. amarillo, tx",,TX,2009,,,,,,0.26401445,,
,,"32. amarillo, tx",,TX,2010,,,,,,0.26169845,,
,,"32. amarillo, tx",,TX,2011,,,,,,0.27587476,,
,,"320. hamilton-middleton, oh",,OH,1960,,,,,,0.30589616,,
,,"320. hamilton-middleton, oh",,OH,1980,,,,,,0.2555045,,
,,"320. hamilton-middleton, oh",,OH,1990,,,,,,0.25054714,,
,,"320. hamilton-middleton, oh",,OH,2000,,,,,,0.24266943,,
,,"320. hamilton-middleton, oh",,OH,2005,,,,,,0.18372975,,
,,"320. hamilton-middleton, oh",,OH,2006,,,,,,0.1850052,,
,,"320. hamilton-middleton, oh",,OH,2007,,,,,,0.18787473,,
,,"320. hamilton-middleton, oh",,OH,2008,,,,,,0.21798275,,
,,"320. hamilton-middleton, oh",,OH,2009,,,,,,0.22207312,,
,,"320. hamilton-middleton, oh",,OH,2010,,,,,,0.20819564,,
,,"320. hamilton-middleton, oh",,OH,2011,,,,,,0.24637142,,
,,"324. harrisburg-lebanon--carlisle, pa",,PA,1960,,,,,,0.29149887,,
,,"324. harrisburg-lebanon--carlisle, pa",,PA,1970,,,,,,0.25285482,,
,,"324. harrisburg-lebanon--carlisle, pa",,PA,1980,,,,,,0.2515848,,
,,"324. harrisburg-lebanon--carlisle, pa",,PA,1990,,,,,,0.23430005,,
,,"324. harrisburg-lebanon--carlisle, pa",,PA,2000,,,,,,0.23245142,,
,,"324. harrisburg-lebanon--carlisle, pa",,PA,2005,,,,,,0.189361,,
,,"324. harrisburg-lebanon--carlisle, pa",,PA,2006,,,,,,0.19343552,,
,,"324. harrisburg-lebanon--carlisle, pa",,PA,2007,,,,,,0.18028168,,
,,"324. harrisburg-lebanon--carlisle, pa",,PA,2008,,,,,,0.19367854,,
,,"324. harrisburg-lebanon--carlisle, pa",,PA,2009,,,,,,0.20908484,,
,,"324. harrisburg-lebanon--carlisle, pa",,PA,2010,,,,,,0.19432601,,
,,"324. harrisburg-lebanon--carlisle, pa",,PA,2011,,,,,,0.21132268,,
,,32580,,,2012,,,,,,0.25287932,,
,,32580,,,2013,,,,-0.02002841,,0.28126508,,-0.02002841
,,32580,,,2014,,,,0.16996862,,0.25938734,,0.16996862
,,32580,,,2015,,,,-0.07616263,,0.24303368,,-0.07616263
,,32580,,,2016,,,,-0.03397005,,0.26581976,,-0.03397005
,,32580,,,2017,,,,-0.00365851,,0.26545453,,-0.00365851
,,32780,,,2012,,,,,,0.33080807,,
,,32780,,,2013,,,,,,0.33084112,,
,,32780,,,2014,,,,,,0.3308504,,
,,32780,,,2015,,,,,,0.35061875,,
,,32780,,,2016,,,,,,0.31776834,,
,,32780,,,2017,,,,,,0.33629897,,
,,"328. hartford-bristol-middleton- new britain, ct",,CT,1960,,,,,,0.37016085,,
,,"328. hartford-bristol-middleton- new britain, ct",,CT,1970,,,,,,0.31045097,,
,,"328. hartford-bristol-middleton- new britain, ct",,CT,1980,,,,,,0.32692808,,
,,"328. hartford-bristol-middleton- new britain, ct",,CT,1990,,,,0.00034664,,0.31927815,,0.00034664
,,"328. hartford-bristol-middleton- new britain, ct",,CT,2000,,,,-0.23556424,,0.31191218,,-0.23556424
,,"328. hartford-bristol-middleton- new britain, ct",,CT,2003,,,,,,0.20421477,,
,,"328. hartford-bristol-middleton- new britain, ct",,CT,2005,,,,,,0.22073868,,
,,"328. hartford-bristol-middleton- new britain, ct",,CT,2006,,,,0.18507002,,0.2260286,,0.18507002
,,"328. hartford-bristol-middleton- new britain, ct",,CT,2007,,,,-0.07119231,,0.2311875,,-0.07119231
,,"328. hartford-bristol-middleton- new britain, ct",,CT,2008,,,,0.09426165,,0.2327011,,0.09426165
,,"328. hartford-bristol-middleton- new britain, ct",,CT,2009,,,,0.08816168,,0.23522146,,0.08816168
,,"328. hartford-bristol-middleton- new britain, ct",,CT,2010,,,,-0.00617987,,0.23629844,,-0.00617987
,,"328. hartford-bristol-middleton- new britain, ct",,CT,2011,,,,0.25182926,,0.26434353,,0.25182926
,,32820,25,,2012,0.03538398,,,,,0.31104994,,
,,32820,25,,2013,0.03935451,,,,,0.33011508,,
,,32820,25,,2014,0.04048667,,,,,0.3254606,,
,,32820,25,,2015,,,,,,0.31960312,,
,,32820,25,,2016,,,,,,0.33549482,,
,,32820,25,,2017,,,,,,0.3237651,,
,,"329. hickory-morganton, nc",,NC,1980,,,,,,0.22363067,,
,,"329. hickory-morganton, nc",,NC,1990,,,,,,0.2370278,,
,,"329. hickory-morganton, nc",,NC,2000,,,,,,0.22835794,,
,,"329. hickory-morganton, nc",,NC,2003,,,,,,0.17088605,,
,,"329. hickory-morganton, nc",,NC,2005,,,,,,0.17362767,,
,,"329. hickory-morganton, nc",,NC,2006,,,,,,0.19061583,,
,,"329. hickory-morganton, nc",,NC,2007,,,,,,0.1832446,,
,,"329. hickory-morganton, nc",,NC,2008,,,,,,0.1955211,,
,,"329. hickory-morganton, nc",,NC,2009,,,,,,0.20160596,,
,,"329. hickory-morganton, nc",,NC,2010,,,,,,0.20618272,,
,,"329. hickory-morganton, nc",,NC,2011,,,,,,0.2356091,,
,,32900,,,2012,,,,,,0.42181417,,
,,32900,,,2013,,,,,,0.44695652,,
,,32900,,,2014,,,,,,0.47589687,,
,,32900,,,2015,,,,,,0.4327315,,
,,32900,,,2016,,,,,,0.46398047,,
,,32900,,,2017,,,,,,0.5144543,,
,,"330. hattiesburg, ms",,MS,2000,,,,,,0.28236356,,
,,"330. hattiesburg, ms",,MS,2005,,,,,,0.28393966,,
,,"330. hattiesburg, ms",,MS,2006,,,,,,0.2664953,,
,,"330. hattiesburg, ms",,MS,2007,,,,,,0.22211538,,
,,"330. hattiesburg, ms",,MS,2008,,,,,,0.27829313,,
,,"330. hattiesburg, ms",,MS,2009,,,,,,0.24765158,,
,,"330. hattiesburg, ms",,MS,2010,,,,,,0.3030303,,
,,"330. hattiesburg, ms",,MS,2011,,,,,,0.36441585,,
,,33100,38,,2012,0.0256656,,,,,0.28747383,,
,,33100,38,,2013,0.03212108,,,0.07376375,,0.29925674,,0.07376375
,,33100,38,,2014,0.02920603,,,0.03903481,,0.30380493,,0.03903481
,,33100,38,,2015,,,,-0.08685961,,0.30834085,,-0.08685961
,,33100,38,,2016,,,,0.09616164,,0.3097809,,0.09616164
,,33100,38,,2017,,,,0.11810055,,0.2988209,,0.11810055
,,33140,,,2012,,,,,,0.19966301,,
,,33140,,,2013,,,,,,0.21671018,,
,,33140,,,2014,,,,,,0.19056427,,
,,33140,,,2015,,,,,,0.19128114,,
,,33140,,,2016,,,,,,0.2112274,,
,,33140,,,2017,,,,,,0.20719016,,
,,33260,,,2012,,,,,,0.23616602,,
,,33260,,,2013,,,,,,0.24281467,,
,,33260,,,2014,,,,,,0.23837207,,
,,33260,,,2015,,,,,,0.18864292,,
,,33260,,,2016,,,,,,0.2364532,,
,,33260,,,2017,,,,,,0.25576922,,
,,33340,30,,2012,0.01780125,,,,,0.3024892,,
,,33340,30,,2013,0.02192907,,,-0.02709523,,0.29586244,,-0.02709523
,,33340,30,,2014,0.02161948,,,-0.01484992,,0.30298358,,-0.01484992
,,33340,30,,2015,,,,-0.00279444,,0.30482218,,-0.00279444
,,33340,30,,2016,,,,-0.03272842,,0.2936118,,-0.03272842
,,33340,30,,2017,,,,-0.00695576,,0.2896091,,-0.00695576
,,33460,42,,2012,0.04162504,,,,,0.18890113,,
