fips,cbsa,metarea,metareano,state_fips,year,reform_date,event_time,treated,exposure_intensity
,,"102. bloomington, in",,IN,1960,,,0,
,,"102. bloomington, in",,IN,1961,,,0,
,,"102. bloomington, in",,IN,1962,,,0,
,,"102. bloomington, in",,IN,1963,,,0,
,,"102. bloomington, in",,IN,1964,,,0,
,,"102. bloomington, in",,IN,1965,,,0,
,,"102. bloomington, in",,IN,1966,,,0,
,,"102. bloomington, in",,IN,1967,,,0,
,,"102. bloomington, in",,IN,1968,,,0,
,,"102. bloomington, in",,IN,1969,,,0,
,,"102. bloomington, in",,IN,1970,,,0,
,,"102. bloomington, in",,IN,1971,,,0,
,,"102. bloomington, in",,IN,1972,,,0,
,,"102. bloomington, in",,IN,1973,,,0,
,,"102. bloomington, in",,IN,1974,,,0,
,,"102. bloomington, in",,IN,1975,,,0,
,,"102. bloomington, in",,IN,1976,,,0,
,,"102. bloomington, in",,IN,1977,,,0,
,,"102. bloomington, in",,IN,1978,,,0,
,,"102. bloomington, in",,IN,1979,,,0,
,,"102. bloomington, in",,IN,1980,,,0,
,,"102. bloomington, in",,IN,1981,,,0,
,,"102. bloomington, in",,IN,1982,,,0,
,,"102. bloomington, in",,IN,1983,,,0,
,,"102. bloomington, in",,IN,1984,,,0,
,,"102. bloomington, in",,IN,1985,,,0,
,,"102. bloomington, in",,IN,1986,,,0,
,,"102. bloomington, in",,IN,1987,,,0,
,,"102. bloomington, in",,IN,1988,,,0,
,,"102. bloomington, in",,IN,1989,,,0,
,,"102. bloomington, in",,IN,1990,,,0,
,,"102. bloomington, in",,IN,1991,,,0,
,,"102. bloomington, in",,IN,1992,,,0,
,,"102. bloomington, in",,IN,1993,,,0,
,,"102. bloomington, in",,IN,1994,,,0,
,,"102. bloomington, in",,IN,1995,,,0,
,,"102. bloomington, in",,IN,1996,,,0,
,,"102. bloomington, in",,IN,1997,,,0,
,,"102. bloomington, in",,IN,1998,,,0,
,,"102. bloomington, in",,IN,1999,,,0,
,,"102. bloomington, in",,IN,2000,,,0,
,,"102. bloomington, in",,IN,2001,,,0,
,,"102. bloomington, in",,IN,2002,,,0,
,,"102. bloomington, in",,IN,2003,,,0,
,,"102. bloomington, in",,IN,2004,,,0,
,,"102. bloomington, in",,IN,2005,,,0,
,,"102. bloomington, in",,IN,2006,,,0,
,,"102. bloomington, in",,IN,2007,,,0,
,,"102. bloomington, in",,IN,2008,,,0,
,,"102. bloomington, in",,IN,2009,,,0,
,,"102. bloomington, in",,IN,2010,,,0,
,,"102. bloomington, in",,IN,2011,,,0,
,,"102. bloomington, in",,IN,2012,,,0,
,,"102. bloomington, in",,IN,2013,,,0,
,,"102. bloomington, in",,IN,2014,,,0,
,,"104. bloomington-normal, il",,IL,1940,,,0,
,,"104. bloomington-normal, il",,IL,1944,,,0,
,,"104. bloomington-normal, il",,IL,1945,,,0,
,,"104. bloomington-normal, il",,IL,1946,,,0,
,,"104. bloomington-normal, il",,IL,1947,,,0,
,,"104. bloomington-normal, il",,IL,1948,,,0,
,,"104. bloomington-normal, il",,IL,1949,,,0,
,,"104. bloomington-normal, il",,IL,1950,,,0,
,,"104. bloomington-normal, il",,IL,1951,,,0,
,,"104. bloomington-normal, il",,IL,1952,,,0,
,,"104. bloomington-normal, il",,IL,1953,,,0,
,,"104. bloomington-normal, il",,IL,1954,,,0,
,,"104. bloomington-normal, il",,IL,1955,,,0,
,,"104. bloomington-normal, il",,IL,1956,,,0,
,,"104. bloomington-normal, il",,IL,1957,,,0,
,,"104. bloomington-normal, il",,IL,1958,,,0,
,,"104. bloomington-normal, il",,IL,1959,,,0,
,,"104. bloomington-normal, il",,IL,1960,,,0,
,,"104. bloomington-normal, il",,IL,1961,,,0,
,,"104. bloomington-normal, il",,IL,1962,,,0,
,,"104. bloomington-normal, il",,IL,1963,,,0,
,,"104. bloomington-normal, il",,IL,1964,,,0,
,,"104. bloomington-normal, il",,IL,1965,,,0,
,,"104. bloomington-normal, il",,IL,1966,,,0,
,,"104. bloomington-normal, il",,IL,1967,,,0,
,,"104. bloomington-normal, il",,IL,1968,,,0,
,,"104. bloomington-normal, il",,IL,1969,,,0,
,,"104. bloomington-normal, il",,IL,1970,,,0,
,,"104. bloomington-normal, il",,IL,1971,,,0,
,,"104. bloomington-normal, il",,IL,1972,,,0,
,,"104. bloomington-normal, il",,IL,1973,,,0,
,,"104. bloomington-normal, il",,IL,1974,,,0,
,,"104. bloomington-normal, il",,IL,1975,,,0,
,,"104. bloomington-normal, il",,IL,1976,,,0,
,,"104. bloomington-normal, il",,IL,1977,,,0,
,,"104. bloomington-normal, il",,IL,1978,,,0,
,,"104. bloomington-normal, il",,IL,1979,,,0,
,,"104. bloomington-normal, il",,IL,1980,,,0,
,,"104. bloomington-normal, il",,IL,1981,,,0,
,,"104. bloomington-normal, il",,IL,1982,,,0,
,,"104. bloomington-normal, il",,IL,1983,,,0,
,,"104. bloomington-normal, il",,IL,1984,,,0,
,,"104. bloomington-normal, il",,IL,1985,,,0,
,,"104. bloomington-normal, il",,IL,1986,,,0,
,,"104. bloomington-normal, il",,IL,1987,,,0,
,,"104. bloomington-normal, il",,IL,1988,,,0,
,,"104. bloomington-normal, il",,IL,1989,,,0,
,,"104. bloomington-normal, il",,IL,1990,,,0,
,,"104. bloomington-normal, il",,IL,1991,,,0,
,,"104. bloomington-normal, il",,IL,1992,,,0,
,,"104. bloomington-normal, il",,IL,1993,,,0,
,,"104. bloomington-normal, il",,IL,1994,,,0,
,,"104. bloomington-normal, il",,IL,1995,,,0,
,,"104. bloomington-normal, il",,IL,1996,,,0,
,,"104. bloomington-normal, il",,IL,1997,,,0,
,,"104. bloomington-normal, il",,IL,1998,,,0,
,,"104. bloomington-normal, il",,IL,1999,,,0,
,,"104. bloomington-normal, il",,IL,2000,,,0,
,,"104. bloomington-normal, il",,IL,2001,,,0,
,,"104. bloomington-normal, il",,IL,2002,,,0,
,,"104. bloomington-normal, il",,IL,2003,,,0,
,,"104. bloomington-normal, il",,IL,2004,,,0,
,,"104. bloomington-normal, il",,IL,2005,,,0,
,,"104. bloomington-normal, il",,IL,2006,,,0,
,,"104. bloomington-normal, il",,IL,2007,,,0,
,,"104. bloomington-normal, il",,IL,2008,,,0,
,,"104. bloomington-normal, il",,IL,2009,,,0,
,,"104. bloomington-normal, il",,IL,2010,,,0,
,,"104. bloomington-normal, il",,IL,2011,,,0,
,,"104. bloomington-normal, il",,IL,2012,,,0,
,,"104. bloomington-normal, il",,IL,2013,,,0,
,,"104. bloomington-normal, il",,IL,2014,,,0,
,,10420,,,1940,,,0,
,,10420,,,1944,,,0,
,,10420,,,1945,,,0,
,,10420,,,1946,,,0,
,,10420,,,1947,,,0,
,,10420,,,1948,,,0,
,,10420,,,1949,,,0,
,,10420,,,1950,,,0,
,,10420,,,1951,,,0,
,,10420,,,1952,,,0,
,,10420,,,1953,,,0,
,,10420,,,1954,,,0,
,,10420,,,1955,,,0,
,,10420,,,1956,,,0,
,,10420,,,1957,,,0,
,,10420,,,1958,,,0,
,,10420,,,1959,,,0,
,,10420,,,1960,,,0,
,,10420,,,1961,,,0,
,,10420,,,1962,,,0,
,,10420,,,1963,,,0,
,,10420,,,1964,,,0,
,,10420,,,1965,,,0,
,,10420,,,1966,,,0,
,,10420,,,1967,,,0,
,,10420,,,1968,,,0,
,,10420,,,1969,,,0,
,,10420,,,1970,,,0,
,,10420,,,1971,,,0,
,,10420,,,1972,,,0,
,,10420,,,1973,,,0,
,,10420,,,1974,,,0,
,,10420,,,1975,,,0,
,,10420,,,1976,,,0,
,,10420,,,1977,,,0,
,,10420,,,1978,,,0,
,,10420,,,1979,,,0,
,,10420,,,1980,,,0,
,,10420,,,1981,,,0,
,,10420,,,1982,,,0,
,,10420,,,1983,,,0,
,,10420,,,1984,,,0,
,,10420,,,1985,,,0,
,,10420,,,1986,,,0,
,,10420,,,1987,,,0,
,,10420,,,1988,,,0,
,,10420,,,1989,,,0,
,,10420,,,1990,,,0,
,,10420,,,1991,,,0,
,,10420,,,1992,,,0,
,,10420,,,1993,,,0,
,,10420,,,1994,,,0,
,,10420,,,1995,,,0,
,,10420,,,1996,,,0,
,,10420,,,1997,,,0,
,,10420,,,1998,,,0,
,,10420,,,1999,,,0,
,,10420,,,2000,,,0,
,,10420,,,2001,,,0,
,,10420,,,2002,,,0,
,,10420,,,2003,,,0,
,,10420,,,2004,,,0,
,,10420,,,2005,,,0,
,,10420,,,2006,,,0,
,,10420,,,2007,,,0,
,,10420,,,2008,,,0,
,,10420,,,2009,,,0,
,,10420,,,2010,,,0,
,,10420,,,2011,,,0,
,,10420,,,2012,,,0,
,,10420,,,2013,,,0,
,,10420,,,2014,,,0,
,,10420,,,2015,,,0,
,,10420,,,2016,,,0,
,,10420,,,2017,,,0,
,,10580,,,1940,,,0,
,,10580,,,1944,,,0,
,,10580,,,1945,,,0,
,,10580,,,1946,,,0,
,,10580,,,1947,,,0,
,,10580,,,1948,,,0,
,,10580,,,1949,,,0,
,,10580,,,1950,,,0,
,,10580,,,1951,,,0,
,,10580,,,1952,,,0,
,,10580,,,1953,,,0,
,,10580,,,1954,,,0,
,,10580,,,1955,,,0,
,,10580,,,1956,,,0,
,,10580,,,1957,,,0,
,,10580,,,1958,,,0,
,,10580,,,1959,,,0,
,,10580,,,1960,,,0,
,,10580,,,1961,,,0,
,,10580,,,1962,,,0,
,,10580,,,1963,,,0,
,,10580,,,1964,,,0,
,,10580,,,1965,,,0,
,,10580,,,1966,,,0,
,,10580,,,1967,,,0,
,,10580,,,1968,,,0,
,,10580,,,1969,,,0,
,,10580,,,1970,,,0,
,,10580,,,1971,,,0,
,,10580,,,1972,,,0,
,,10580,,,1973,,,0,
,,10580,,,1974,,,0,
,,10580,,,1975,,,0,
,,10580,,,1976,,,0,
,,10580,,,1977,,,0,
,,10580,,,1978,,,0,
,,10580,,,1979,,,0,
,,10580,,,1980,,,0,
,,10580,,,1981,,,0,
,,10580,,,1982,,,0,
,,10580,,,1983,,,0,
,,10580,,,1984,,,0,
,,10580,,,1985,,,0,
,,10580,,,1986,,,0,
,,10580,,,1987,,,0,
,,10580,,,1988,,,0,
,,10580,,,1989,,,0,
,,10580,,,1990,,,0,
,,10580,,,1991,,,0,
,,10580,,,1992,,,0,
,,10580,,,1993,,,0,
,,10580,,,1994,,,0,
,,10580,,,1995,,,0,
,,10580,,,1996,,,0,
,,10580,,,1997,,,0,
,,10580,,,1998,,,0,
,,10580,,,1999,,,0,
,,10580,,,2000,,,0,
,,10580,,,2001,,,0,
,,10580,,,2002,,,0,
,,10580,,,2003,,,0,
,,10580,,,2004,,,0,
,,10580,,,2005,,,0,
,,10580,,,2006,,,0,
,,10580,,,2007,,,0,
,,10580,,,2008,,,0,
,,10580,,,2009,,,0,
,,10580,,,2010,,,0,
,,10580,,,2011,,,0,
,,10580,,,2012,,,0,
,,10580,,,2013,,,0,
,,10580,,,2014,,,0,
,,10580,,,2015,,,0,
,,10580,,,2016,,,0,
,,10580,,,2017,,,0,
,,10740,,,1940,2012-01-01,-72,1,0.04090441
,,10740,,,1944,2012-01-01,-68,1,0.04090441
,,10740,,,1945,2012-01-01,-67,1,0.04090441
,,10740,,,1946,2012-01-01,-66,1,0.04090441
,,10740,,,1947,2012-01-01,-65,1,0.04090441
,,10740,,,1948,2012-01-01,-64,1,0.04090441
,,10740,,,1949,2012-01-01,-63,1,0.04090441
,,10740,,,1950,2012-01-01,-62,1,0.04090441
,,10740,,,1951,2012-01-01,-61,1,0.04090441
,,10740,,,1952,2012-01-01,-60,1,0.04090441
,,10740,,,1953,2012-01-01,-59,1,0.04090441
,,10740,,,1954,2012-01-01,-58,1,0.04090441
,,10740,,,1955,2012-01-01,-57,1,0.04090441
,,10740,,,1956,2012-01-01,-56,1,0.04090441
,,10740,,,1957,2012-01-01,-55,1,0.04090441
